nmbr,location,lat,lon,carrington_lo,area,z_class,ll,nn,mag_type,date
9751,N04W64,4,64,142,190,Eai,12,17,Beta-Gamma,2002-01-01
9753,S17W60,-17,60,138,60,Dso,9,10,Beta,2002-01-01
9754,S08W42,-8,42,120,70,Eai,11,20,Beta-Gamma,2002-01-01
9755,S04W16,-4,16,94,140,Dso,4,10,Beta,2002-01-01
9756,S29E08,-29,-8,70,30,Cao,3,4,Beta,2002-01-01
9761,N11E08,11,-8,70,40,Hsx,2,1,Alpha,2002-01-01
9763,N07E20,7,-20,58,40,Hsx,2,1,Alpha,2002-01-01
9764,N15W24,15,24,102,70,Dao,6,11,Beta,2002-01-01
9765,N06E36,6,-36,42,120,Dso,6,6,Beta,2002-01-01
9766,N05E48,5,-48,30,20,Cso,4,2,Beta,2002-01-01
9767,S23E60,-23,-60,18,510,Eki,13,17,Beta-Gamma,2002-01-01
9751,N03W77,3,77,142,150,Eai,14,12,Beta-Gamma,2002-01-02
9753,S17W73,-17,73,138,70,Cso,10,7,Beta,2002-01-02
9754,S07W55,-7,55,120,100,Dai,9,19,Beta,2002-01-02
9755,S08W29,-8,29,94,140,Dso,5,12,Beta,2002-01-02
9756,S28W05,-28,5,70,20,Hsx,1,1,Alpha,2002-01-02
9761,N10W05,10,5,70,50,Hsx,2,1,Alpha,2002-01-02
9763,N06E07,6,-7,58,40,Hsx,2,1,Alpha,2002-01-02
9764,N14W37,14,37,102,170,Dao,8,14,Beta,2002-01-02
9765,N06E24,6,-24,41,80,Dso,4,7,Beta,2002-01-02
9766,N04E35,4,-35,30,20,Hrx,1,1,Alpha,2002-01-02
9767,S23E49,-23,-49,16,510,Ehi,14,22,Beta-Gamma,2002-01-02
9768,S06W15,-6,15,80,10,Bxo,3,5,Beta,2002-01-02
9751,N04W89,4,89,141,80,Dao,9,4,Beta,2002-01-03
9754,S07W68,-7,68,120,175,Eai,11,17,Beta,2002-01-03
9755,S04W42,-4,42,94,90,Dso,5,6,Beta,2002-01-03
9761,N11W18,11,18,70,30,Cso,4,2,Beta,2002-01-03
9763,N06W06,6,6,58,40,Hsx,2,1,Alpha,2002-01-03
9764,N14W50,14,50,102,200,Dao,9,14,Beta,2002-01-03
9765,N06E11,6,-11,41,80,Dso,4,5,Beta,2002-01-03
9766,N04E21,4,-21,31,0,Axx,0,1,Alpha,2002-01-03
9767,S23E36,-23,-36,16,410,Eai,14,37,Beta-Gamma,2002-01-03
9768,S06W28,-6,28,80,30,Dso,6,7,Beta,2002-01-03
9769,S19W33,-19,33,85,30,Dso,4,4,Beta,2002-01-03
9770,N08W29,8,29,81,30,Cso,4,8,Beta,2002-01-03
9771,S20E17,-20,-17,35,10,Bxo,5,5,Beta,2002-01-03
9754,S05W81,-5,81,121,160,Eao,11,10,Beta,2002-01-04
9755,S04W55,-4,55,95,70,Cso,5,4,Beta,2002-01-04
9761,N11W31,11,31,71,20,Hsx,2,3,Alpha,2002-01-04
9763,N07W20,7,20,59,50,Hsx,2,1,Alpha,2002-01-04
9764,N14W64,14,64,104,170,Dao,10,7,Beta,2002-01-04
9765,N06W03,6,3,43,70,Cso,3,4,Beta,2002-01-04
9766,N07E08,7,-8,32,10,Bxo,3,2,Beta,2002-01-04
9767,S23E23,-23,-23,17,310,Eai,14,39,Beta-Gamma,2002-01-04
9768,S07W43,-7,43,83,40,Cso,7,5,Beta,2002-01-04
9769,S19W45,-19,45,85,60,Dso,6,5,Beta,2002-01-04
9770,N09W41,9,41,81,50,Cso,4,9,Beta,2002-01-04
9771,S20E05,-20,-5,35,40,Cro,7,9,Beta,2002-01-04
9772,S18E83,-18,-83,317,120,Hax,2,1,Alpha,2002-01-04
9754,S07W92,-7,92,119,20,Cso,2,5,Beta,2002-01-05
9755,S03W71,-3,71,98,90,Hsx,2,2,Alpha,2002-01-05
9761,N11W45,11,45,72,10,Hsx,1,1,Alpha,2002-01-05
9763,N06W34,6,34,61,20,Hsx,2,3,Alpha,2002-01-05
9764,N14W80,14,80,107,170,Dao,10,6,Beta,2002-01-05
9765,N06W16,6,16,43,70,Cso,7,9,Beta,2002-01-05
9767,S22E08,-22,-8,19,340,Fki,17,51,Beta-Gamma,2002-01-05
9768,S06W58,-6,58,85,50,Dso,5,11,Beta,2002-01-05
9769,S19W61,-19,61,88,170,Dso,5,2,Beta,2002-01-05
9770,N07W55,7,55,82,50,Cso,5,8,Beta,2002-01-05
9771,S20W10,-20,10,37,60,Cso,9,13,Beta,2002-01-05
9772,S16E65,-16,-65,322,60,Hax,2,1,Alpha,2002-01-05
9773,N14E64,14,-64,323,80,Cso,7,6,Beta,2002-01-05
9755,S05W83,-5,83,96,60,Hsx,2,1,Alpha,2002-01-06
9761,N12W56,12,56,69,20,Hsx,1,1,Alpha,2002-01-06
9763,N06W45,6,45,58,10,Hsx,1,1,Alpha,2002-01-06
9764,N13W89,13,89,102,90,Dao,6,3,Beta,2002-01-06
9765,N07W25,7,25,38,70,Cso,7,3,Beta,2002-01-06
9767,S22W03,-22,3,16,320,Fki,17,34,Beta-Gamma,2002-01-06
9768,S04W70,-4,70,83,160,Dso,8,12,Beta,2002-01-06
9769,S18W72,-18,72,85,90,Dso,5,3,Beta,2002-01-06
9770,N07W62,7,62,75,90,Cso,6,10,Beta,2002-01-06
9771,S23W20,-23,20,33,30,Dso,4,4,Beta,2002-01-06
9772,S17E52,-17,-52,321,50,Hsx,2,1,Alpha,2002-01-06
9773,N13E52,13,-52,321,130,Dso,8,8,Beta,2002-01-06
9761,N10W70,10,70,70,10,Axx,1,1,Alpha,2002-01-07
9763,N06W59,6,59,59,20,Hrx,1,1,Alpha,2002-01-07
9765,N06W41,6,41,41,70,Hsx,1,1,Alpha,2002-01-07
9767,S22W17,-22,17,17,280,Fai,16,29,Beta-Gamma,2002-01-07
9768,S05W84,-5,84,84,220,Dao,9,6,Beta-Gamma,2002-01-07
9769,S18W88,-18,88,88,30,Hsx,1,1,Alpha,2002-01-07
9771,S23W34,-23,34,34,10,Bxo,9,5,Beta,2002-01-07
9772,S17E38,-17,-38,322,70,Hsx,2,1,Alpha,2002-01-07
9773,N13E36,13,-36,324,140,Dao,7,8,Beta,2002-01-07
9761,N09W83,9,83,70,10,Axx,1,1,Alpha,2002-01-08
9763,N05W73,5,73,60,10,Axx,1,1,Alpha,2002-01-08
9765,N06W54,6,54,41,70,Cso,11,2,Beta,2002-01-08
9767,S22W30,-22,30,17,250,Fai,16,28,Beta-Gamma,2002-01-08
9771,S21W49,-21,49,36,10,Bxo,7,6,Beta,2002-01-08
9772,S17E24,-17,-24,323,60,Hsx,1,1,Alpha,2002-01-08
9773,N12E22,12,-22,325,120,Dao,8,13,Beta,2002-01-08
9774,N12W37,12,37,24,10,Bxo,4,2,Beta,2002-01-08
9775,S06E37,-6,-37,310,20,Cro,3,3,Beta,2002-01-08
9776,N10E59,10,-59,288,10,Axx,0,1,Alpha,2002-01-08
9765,N06W71,6,71,45,70,Hsx,2,1,Alpha,2002-01-09
9767,S21W43,-21,43,17,160,Eao,14,16,Beta-Gamma,2002-01-09
9772,S16E11,-16,-11,323,60,Hsx,2,1,Alpha,2002-01-09
9773,N13E07,13,-7,327,90,Dao,8,19,Beta,2002-01-09
9775,S05E24,-5,-24,310,40,Cso,7,10,Beta,2002-01-09
9776,N11E46,11,-46,288,40,Cso,3,3,Beta,2002-01-09
9777,S06E64,-6,-64,270,10,Axx,1,1,Alpha,2002-01-09
9778,S15E67,-15,-67,267,60,Hsx,2,1,Alpha,2002-01-09
9779,N28E65,28,-65,269,150,Hsx,3,1,Alpha,2002-01-09
9765,N07W86,7,86,47,40,Hsx,2,1,Alpha,2002-01-10
9767,S18W61,-18,61,22,170,Dao,10,6,Beta,2002-01-10
9772,S16W02,-16,2,323,60,Hsx,1,1,Alpha,2002-01-10
9773,N14W05,14,5,326,300,Eai,11,27,Beta-Gamma-Delta,2002-01-10
9775,S05E11,-5,-11,310,80,Dso,9,15,Beta,2002-01-10
9776,N11E32,11,-32,289,70,Dso,6,4,Beta,2002-01-10
9778,S16E58,-16,-58,263,170,Eao,11,9,Beta,2002-01-10
9779,N28E53,28,-53,268,170,Cao,9,3,Beta,2002-01-10
9780,S11W49,-11,49,10,30,Dso,4,3,Beta,2002-01-10
9767,S17W73,-17,73,20,120,Cao,5,4,Beta,2002-01-11
9772,S16W14,-16,14,321,40,Hsx,2,1,Alpha,2002-01-11
9773,N14W17,14,17,324,510,Eac,14,44,Beta-Gamma-Delta,2002-01-11
9775,S05W03,-5,3,310,80,Dso,7,17,Beta,2002-01-11
9776,N10E19,10,-19,288,40,Cso,7,4,Beta,2002-01-11
9778,S17E45,-17,-45,262,220,Eai,15,21,Beta,2002-01-11
9779,N28E40,28,-40,267,100,Cao,4,2,Beta,2002-01-11
9780,S11W62,-11,62,9,50,Dso,5,6,Beta,2002-01-11
9767,S18W87,-18,87,21,90,Cao,9,3,Beta,2002-01-12
9772,S16W28,-16,28,322,60,Hsx,2,2,Alpha,2002-01-12
9773,N14W32,14,32,326,570,Eki,15,28,Beta-Gamma-Delta,2002-01-12
9775,S05W16,-5,16,310,140,Dao,8,16,Beta,2002-01-12
9776,N11E04,11,-4,290,30,Cso,7,4,Beta,2002-01-12
9778,S16E33,-16,-33,261,180,Eai,13,26,Beta,2002-01-12
9779,N28E27,28,-27,267,120,Cso,7,5,Beta,2002-01-12
9780,S10W78,-10,78,12,40,Cso,6,3,Beta,2002-01-12
9781,S06E64,-6,-64,230,90,Hsx,2,1,Alpha,2002-01-12
9782,N09E73,9,-73,221,160,Dao,10,7,Beta,2002-01-12
9772,S16W41,-16,41,322,60,Hsx,2,2,Alpha,2002-01-13
9773,N15W46,15,46,327,500,Fki,16,16,Beta-Gamma-Delta,2002-01-13
9775,S05W30,-5,30,311,140,Eao,12,19,Beta-Gamma,2002-01-13
9776,N11W13,11,13,294,20,Cso,6,5,Beta,2002-01-13
9778,S16E21,-16,-21,260,140,Eai,12,20,Beta-Gamma,2002-01-13
9779,N29E13,29,-13,268,120,Cso,6,3,Beta,2002-01-13
9780,S10W93,-10,93,14,30,Hsx,1,1,Alpha,2002-01-13
9781,S05E52,-5,-52,229,80,Hsx,2,1,Alpha,2002-01-13
9782,N09E62,9,-62,219,320,Dao,10,6,Beta,2002-01-13
9783,S10E76,-10,-76,205,90,Hax,3,1,Alpha,2002-01-13
9772,S17W54,-17,54,322,30,Hsx,1,1,Alpha,2002-01-14
9773,N16W57,16,57,325,530,Fki,16,15,Beta-Gamma-Delta,2002-01-14
9775,S05W43,-5,43,311,180,Eao,14,22,Beta-Gamma,2002-01-14
9776,N11W26,11,26,294,20,Cso,4,3,Beta,2002-01-14
9778,S16E09,-16,-9,259,140,Eai,13,18,Beta-Gamma-Delta,2002-01-14
9779,N30E02,30,-2,266,130,Hsx,2,1,Alpha,2002-01-14
9781,S05E39,-5,-39,229,60,Hsx,2,1,Alpha,2002-01-14
9782,N08E48,8,-48,220,280,Dao,8,10,Beta,2002-01-14
9783,S11E65,-11,-65,203,160,Hax,3,2,Alpha,2002-01-14
9784,S29E58,-29,-58,210,10,Axx,1,1,Alpha,2002-01-14
9785,N12E53,12,-53,215,110,Cao,7,6,Beta,2002-01-14
9772,S17W67,-17,67,322,30,Hsx,2,1,Alpha,2002-01-15
9773,N16W70,16,70,325,460,Fki,17,12,Beta-Gamma-Delta,2002-01-15
9775,S06W57,-6,57,312,220,Fai,16,21,Beta-Gamma,2002-01-15
9776,N10W40,10,40,295,10,Cso,3,3,Beta,2002-01-15
9778,S16W05,-16,5,260,120,Eai,12,24,Beta,2002-01-15
9779,N29W12,29,12,267,100,Hsx,3,1,Alpha,2002-01-15
9781,S04E25,-4,-25,230,60,Hsx,3,1,Alpha,2002-01-15
9782,N07E33,7,-33,222,240,Dao,5,9,Beta-Delta,2002-01-15
9783,S11E52,-11,-52,203,140,Hsx,3,2,Alpha,2002-01-15
9784,S28E44,-28,-44,211,0,Axx,0,1,Alpha,2002-01-15
9785,N11E41,11,-41,214,200,Dao,7,6,Beta-Gamma,2002-01-15
9772,S17W81,-17,81,323,30,Hsx,1,1,Alpha,2002-01-16
9773,N16W82,16,82,324,260,Eao,13,7,Beta-Gamma,2002-01-16
9775,S06W69,-6,69,311,280,Fki,16,14,Beta-Gamma-Delta,2002-01-16
9776,N08W50,8,50,292,10,Cso,2,2,Beta,2002-01-16
9778,S15W18,-15,18,260,90,Dao,10,11,Beta,2002-01-16
9779,N29W24,29,24,266,110,Hsx,2,1,Alpha,2002-01-16
9781,S05E13,-5,-13,229,60,Hsx,2,1,Alpha,2002-01-16
9782,N06E20,6,-20,222,220,Dao,5,11,Beta-Delta,2002-01-16
9783,S11E42,-11,-42,202,260,Hkx,3,2,Alpha,2002-01-16
9785,N11E28,11,-28,214,190,Dao,6,5,Beta-Gamma,2002-01-16
9775,S06W86,-6,86,314,160,Eao,11,6,Beta-Gamma,2002-01-17
9778,S14W35,-14,35,263,40,Dao,6,9,Beta,2002-01-17
9779,N29W38,29,38,266,110,Hsx,3,2,Alpha,2002-01-17
9781,S05W01,-5,1,229,80,Hax,2,2,Alpha,2002-01-17
9782,N06E05,6,-5,223,260,Dao,8,16,Beta,2002-01-17
9783,S12E25,-12,-25,203,170,Cao,5,6,Beta,2002-01-17
9785,N10E14,10,-14,214,180,Dao,8,7,Beta,2002-01-17
9786,S26E07,-26,-7,221,30,Dso,6,3,Beta,2002-01-17
9778,S14W50,-14,50,265,20,Cso,3,3,Beta,2002-01-18
9779,N29W53,29,53,268,120,Cso,4,3,Beta,2002-01-18
9781,S04W14,-4,14,229,100,Hsx,1,1,Alpha,2002-01-18
9782,N06W08,6,8,223,270,Dko,6,10,Beta,2002-01-18
9783,S12E12,-12,-12,203,210,Cao,4,5,Beta,2002-01-18
9785,N10E01,10,-1,214,250,Dao,7,12,Beta,2002-01-18
9786,S26W06,-26,6,221,50,Dso,6,7,Beta,2002-01-18
9787,S08E85,-8,-85,130,120,Hhx,5,1,Alpha,2002-01-18
9778,S14W62,-14,62,264,10,Bxo,3,3,Beta,2002-01-19
9779,N29W64,29,64,266,90,Hax,2,2,Alpha,2002-01-19
9781,S05W28,-5,28,230,80,Hsx,2,1,Alpha,2002-01-19
9782,N06W22,6,22,224,200,Dao,4,10,Beta,2002-01-19
9783,S11E01,-11,-1,201,180,Cao,7,6,Beta,2002-01-19
9785,N09W14,9,14,216,180,Dso,7,11,Beta,2002-01-19
9786,S26W19,-26,19,221,30,Cso,6,15,Beta,2002-01-19
9787,S07E71,-7,-71,131,210,Hax,4,2,Alpha,2002-01-19
9788,N16E52,16,-52,150,30,Cro,1,2,Beta,2002-01-19
9789,N15E10,15,-10,192,20,Bxo,4,4,Beta,2002-01-19
9779,N28W77,28,77,266,70,Hsx,2,1,Alpha,2002-01-20
9781,S05W42,-5,42,231,80,Hsx,2,1,Alpha,2002-01-20
9782,N07W35,7,35,224,140,Dao,5,7,Beta,2002-01-20
9783,S11W12,-11,12,201,140,Dao,5,5,Beta,2002-01-20
9785,N09W26,9,26,215,120,Dao,5,7,Beta,2002-01-20
9786,S25W32,-25,32,221,90,Dao,8,12,Beta,2002-01-20
9787,S07E59,-7,-59,130,360,Cko,10,6,Beta,2002-01-20
9788,N17E40,17,-40,149,80,Dso,7,8,Beta,2002-01-20
9789,N15W02,15,2,191,20,Bxo,3,5,Beta,2002-01-20
9790,N28E25,28,-25,164,10,Hsx,1,1,Alpha,2002-01-20
9779,N27W90,27,90,266,30,Hsx,2,2,Alpha,2002-01-21
9781,S04W55,-4,55,231,60,Hsx,2,2,Alpha,2002-01-21
9782,N08W48,8,48,224,140,Cao,5,3,Beta,2002-01-21
9783,S11W25,-11,25,201,130,Cao,4,6,Beta,2002-01-21
9785,N11W39,11,39,215,110,Dao,7,6,Beta,2002-01-21
9786,S25W45,-25,45,221,80,Dao,8,6,Beta,2002-01-21
9787,S07E46,-7,-46,130,420,Cko,10,6,Beta,2002-01-21
9788,N17E27,17,-27,149,90,Dso,7,16,Beta,2002-01-21
9789,N15W15,15,15,191,20,Cso,3,7,Beta,2002-01-21
9790,N28E12,28,-12,164,0,Axx,0,1,Alpha,2002-01-21
9791,S03W19,-3,19,195,30,Cso,4,9,Beta,2002-01-21
9792,N07E23,7,-23,153,10,Bxo,3,2,Beta,2002-01-21
9793,S15E32,-15,-32,144,20,Cro,5,5,Beta,2002-01-21
9794,N11E65,11,-65,111,10,Axx,1,1,Alpha,2002-01-21
9781,S04W69,-4,69,231,70,Hsx,2,1,Alpha,2002-01-22
9782,N07W62,7,62,224,80,Hax,2,1,Alpha,2002-01-22
9783,S11W39,-11,39,201,130,Cao,5,5,Beta,2002-01-22
9785,N10W53,10,53,215,100,Dso,4,6,Beta,2002-01-22
9786,S25W59,-25,59,221,70,Dso,9,4,Beta,2002-01-22
9787,S07E32,-7,-32,130,430,Eko,11,7,Beta,2002-01-22
9788,N18E13,18,-13,149,160,Dai,8,14,Beta,2002-01-22
9789,N17W29,17,29,191,70,Dso,5,10,Beta,2002-01-22
9790,N28W02,28,2,164,100,Bxo,4,3,Beta,2002-01-22
9791,S03W33,-3,33,195,120,Dso,4,6,Beta,2002-01-22
9793,S15E19,-15,-19,143,50,Dso,6,8,Beta,2002-01-22
9794,N11E51,11,-51,111,20,Bxo,4,2,Beta,2002-01-22
9781,S06W82,-6,82,231,50,Hsx,1,1,Alpha,2002-01-23
9782,N08W75,8,75,224,90,Hsx,2,1,Alpha,2002-01-23
9783,S10W52,-10,52,201,140,Dao,4,10,Beta,2002-01-23
9785,N13W66,13,66,215,90,Dso,3,2,Beta,2002-01-23
9786,S26W73,-26,73,222,50,Hsx,1,1,Alpha,2002-01-23
9787,S06E19,-6,-19,130,400,Dko,7,13,Beta-Gamma,2002-01-23
9788,N18E00,18,0,149,200,Dai,10,18,Beta-Gamma,2002-01-23
9789,N18W42,18,42,191,10,Cro,4,4,Beta,2002-01-23
9790,N29W15,29,15,164,10,Cso,3,3,Beta,2002-01-23
9791,S02W46,-2,46,195,70,Dao,6,10,Beta,2002-01-23
9793,S12E01,-12,-1,144,20,Cso,4,5,Beta,2002-01-23
9781,S03W95,-3,95,231,30,Hax,2,1,Alpha,2002-01-24
9782,N08W88,8,88,224,60,Hax,2,1,Alpha,2002-01-24
9783,S11W65,-11,65,201,140,Dao,5,8,Beta,2002-01-24
9784,S28W73,-28,73,211,30,Cao,4,3,Beta,2002-01-24
9785,N31W79,31,79,215,80,Hsx,2,1,Alpha,2002-01-24
9786,S24W86,-24,86,222,60,Hax,2,1,Alpha,2002-01-24
9787,S07E06,-7,-6,130,440,Dki,8,10,Beta-Gamma,2002-01-24
9788,N17W14,17,14,150,170,Eai,11,20,Beta-Gamma,2002-01-24
9789,N26W55,26,55,191,10,Hrx,1,1,Alpha,2002-01-24
9790,N29W28,29,28,164,0,Axx,0,1,Alpha,2002-01-24
9791,S02W59,-2,59,195,60,Dso,7,5,Beta,2002-01-24
9792,S03W16,-3,16,152,10,Bxo,3,5,Beta,2002-01-24
9793,S14W10,-14,10,146,20,Cso,5,8,Beta,2002-01-24
9794,N12E23,12,-23,113,10,Hsx,1,2,Alpha,2002-01-24
9795,N23W60,23,60,199,40,Dso,4,3,Beta,2002-01-24
9796,N09E18,9,-18,118,30,Cso,5,4,Beta,2002-01-24
9797,S16E32,-16,-32,104,20,Hsx,1,2,Alpha,2002-01-24
9798,S03E42,-3,-42,94,20,Cso,6,4,Beta,2002-01-24
9799,S25E54,-25,-54,82,20,Bxo,4,2,Beta,2002-01-24
9783,S12W79,-12,79,202,170,Cao,6,6,Beta,2002-01-25
9784,S34W80,-34,80,203,50,Hsx,1,1,Alpha,2002-01-25
9785,N08W92,8,92,215,60,Hax,3,2,Alpha,2002-01-25
9787,S06W06,-6,6,129,470,Dko,10,10,Beta,2002-01-25
9788,N18W30,18,30,153,150,Eao,12,10,Beta,2002-01-25
9791,S04W78,-4,78,201,40,Hsx,2,1,Alpha,2002-01-25
9793,S14W23,-14,23,146,30,Dso,4,4,Beta,2002-01-25
9794,N13E10,13,-10,113,10,Hsx,0,1,Alpha,2002-01-25
9795,N21W80,21,80,203,100,Dso,9,4,Beta,2002-01-25
9796,N09E03,9,-3,120,20,Cro,7,5,Beta,2002-01-25
9798,S02E30,-2,-30,93,50,Cro,6,7,Beta,2002-01-25
9799,S23E43,-23,-43,80,30,Cso,4,2,Beta,2002-01-25
9783,S12W90,-12,90,200,60,Hax,3,1,Alpha,2002-01-26
9784,S34W90,-34,90,200,50,Bxo,1,2,Beta,2002-01-26
9787,S09W21,-9,21,131,400,Dko,6,8,Beta,2002-01-26
9788,N17W43,17,43,153,120,Dao,6,11,Beta,2002-01-26
9790,N28W55,28,55,165,10,Bxo,3,3,Beta,2002-01-26
9793,S14W38,-14,38,148,10,Cso,4,3,Beta,2002-01-26
9794,N13W03,13,3,113,90,Dao,4,4,Beta,2002-01-26
9795,N18W86,18,86,196,30,Hax,1,1,Alpha,2002-01-26
9796,N09W08,9,8,118,40,Cao,5,6,Beta,2002-01-26
9798,S02E15,-2,-15,95,60,Cao,4,9,Beta,2002-01-26
9799,S23E29,-23,-29,81,70,Cao,4,5,Beta,2002-01-26
9800,N07E63,7,-63,47,130,Dao,8,10,Beta,2002-01-26
9801,S03E77,-3,-77,33,50,Cso,6,3,Beta,2002-01-26
9787,S09W33,-9,33,130,410,Dko,10,12,Beta,2002-01-27
9788,N15W57,15,57,154,190,Dao,10,17,Beta,2002-01-27
9790,N27W69,27,69,166,10,Axx,1,1,Alpha,2002-01-27
9793,S15W50,-15,50,147,20,Hsx,1,1,Alpha,2002-01-27
9794,N12W17,12,17,114,50,Dso,5,5,Beta,2002-01-27
9797,S18W12,-18,12,109,10,Bxo,3,3,Beta,2002-01-27
9798,S01E01,-1,-1,96,10,Bxo,3,2,Beta,2002-01-27
9799,S24E15,-24,-15,82,150,Cko,6,9,Beta,2002-01-27
9800,N08E49,8,-49,48,230,Dsi,10,27,Beta,2002-01-27
9801,S03E64,-3,-64,33,100,Cao,4,2,Beta,2002-01-27
9802,S13E72,-13,-72,25,140,Dao,8,5,Beta,2002-01-27
9787,S08W48,-8,48,131,450,Cko,5,5,Beta,2002-01-28
9788,N17W70,17,70,153,120,Dao,9,12,Beta,2002-01-28
9793,S14W66,-14,66,149,10,Bxo,3,3,Beta,2002-01-28
9794,N13W30,13,30,113,40,Cso,5,5,Beta,2002-01-28
9798,S02W13,-2,13,96,20,Cro,4,5,Beta,2002-01-28
9799,S24E03,-24,-3,80,100,Dao,5,7,Beta,2002-01-28
9800,N07E35,7,-35,48,330,Eai,12,35,Beta,2002-01-28
9801,S03E50,-3,-50,33,110,Dao,4,3,Beta,2002-01-28
9802,S15E60,-15,-60,23,230,Dso,9,10,Beta,2002-01-28
9803,S24W47,-24,47,130,30,Cso,3,4,Beta,2002-01-28
9787,S08W60,-8,60,130,420,Dko,6,8,Beta,2002-01-29
9788,N18W85,18,85,155,60,Dso,7,3,Beta,2002-01-29
9794,N14W44,14,44,114,20,Cro,6,5,Beta,2002-01-29
9798,S03W22,-3,22,92,10,Cso,9,4,Beta,2002-01-29
9799,S24W10,-24,10,80,90,Dao,6,8,Beta,2002-01-29
9800,N07E23,7,-23,47,550,Ekc,12,36,Beta-Gamma,2002-01-29
9801,S03E38,-3,-38,32,90,Dso,3,3,Beta,2002-01-29
9802,S16E49,-16,-49,21,330,Eko,12,14,Beta-Gamma,2002-01-29
9803,S25W60,-25,60,130,30,Dso,5,3,Beta,2002-01-29
9804,S19E27,-19,-27,43,20,Axx,1,1,Alpha,2002-01-29
9805,N14E64,14,-64,6,10,Hrx,1,1,Alpha,2002-01-29
9806,N11E70,11,-70,0,40,Hsx,2,1,Alpha,2002-01-29
9787,S07W73,-7,73,130,380,Dho,5,5,Beta,2002-01-30
9794,N14W59,14,59,116,20,Hsx,2,2,Alpha,2002-01-30
9798,S02W39,-2,39,96,10,Axx,1,2,Alpha,2002-01-30
9799,S23W23,-23,23,80,70,Dso,7,6,Beta,2002-01-30
9800,N07E10,7,-10,47,600,Fkc,16,52,Beta-Gamma-Delta,2002-01-30
9801,S03E23,-3,-23,33,110,Dso,4,5,Beta,2002-01-30
9802,S16E36,-16,-36,21,390,Eki,11,20,Beta-Gamma,2002-01-30
9803,S24W73,-24,73,130,60,Dso,6,5,Beta,2002-01-30
9804,S19E13,-19,-13,44,10,Axx,2,2,Alpha,2002-01-30
9805,N14E51,14,-51,6,40,Dso,5,4,Beta,2002-01-30
9806,N10E57,10,-57,0,30,Hsx,2,1,Alpha,2002-01-30
9787,S07W89,-7,89,133,190,Dso,5,2,Beta,2002-01-31
9799,S23W35,-23,35,79,40,Cso,5,6,Beta,2002-01-31
9800,N08W03,8,3,47,600,Fkc,16,52,Beta-Gamma,2002-01-31
9801,S04E12,-4,-12,32,80,Dso,4,7,Beta,2002-01-31
9802,S17E22,-17,-22,22,510,Eac,12,41,Beta-Gamma-Delta,2002-01-31
9803,S24W84,-24,84,128,40,Cso,6,2,Beta,2002-01-31
9805,N14E39,14,-39,5,10,Cso,4,4,Beta,2002-01-31
9806,N10E44,10,-44,0,40,Hsx,1,1,Alpha,2002-01-31
9807,S27E74,-27,-74,330,160,Eso,14,5,Beta,2002-01-31
9799,S23W49,-23,49,80,20,Bxo,3,3,Beta,2002-02-01
9800,N07W18,7,18,49,570,Fkc,16,52,Beta-Gamma,2002-02-01
9801,S04W02,-4,2,33,100,Dso,5,8,Beta,2002-02-01
9802,S16E09,-16,-9,22,650,Ekc,13,49,Beta-Gamma-Delta,2002-02-01
9804,S19W13,-19,13,44,20,Bxo,2,4,Beta,2002-02-01
9805,N12E30,12,-30,1,30,Cso,4,5,Beta,2002-02-01
9806,N12E31,12,-31,0,50,Cao,3,4,Beta,2002-02-01
9807,S26E64,-26,-64,327,370,Eko,12,7,Beta,2002-02-01
9808,N15E54,15,-54,337,30,Cso,3,4,Beta,2002-02-01
9809,S06E68,-6,-68,323,130,Dso,5,2,Beta,2002-02-01
9799,S24W62,-24,62,79,20,Axx,1,1,Alpha,2002-02-02
9800,N08W31,8,31,48,570,Fac,17,50,Beta-Gamma,2002-02-02
9801,S03W16,-3,16,33,110,Cso,5,10,Beta,2002-02-02
9802,S15W05,-15,5,22,780,Ekc,14,64,Beta-Gamma-Delta,2002-02-02
9804,S17W26,-17,26,43,30,Cao,6,3,Beta,2002-02-02
9806,N11E17,11,-17,0,40,Hsx,2,2,Alpha,2002-02-02
9807,S27E51,-27,-51,326,320,Eai,13,13,Beta-Gamma,2002-02-02
9808,N16E41,16,-41,336,60,Cao,4,8,Beta,2002-02-02
9809,S06E55,-6,-55,322,120,Dao,5,3,Beta,2002-02-02
9810,N10E81,10,-81,296,110,Hax,2,2,Alpha,2002-02-02
9800,N10W44,10,44,48,490,Eai,15,28,Beta-Gamma,2002-02-03
9801,S04W29,-4,29,33,110,Cso,5,5,Beta,2002-02-03
9802,S14W18,-14,18,22,660,Fkc,16,55,Beta-Gamma-Delta,2002-02-03
9806,N11E03,11,-3,0,50,Dso,5,4,Beta,2002-02-03
9807,S27E38,-27,-38,326,210,Eai,13,16,Beta-Gamma,2002-02-03
9808,N16E28,16,-28,336,50,Cao,5,6,Beta,2002-02-03
9809,S06E42,-6,-42,322,120,Dso,6,3,Beta,2002-02-03
9810,N09E68,9,-68,296,200,Cso,4,2,Beta,2002-02-03
9811,S27E83,-27,-83,281,90,Hax,2,1,Alpha,2002-02-03
9812,N12W16,12,16,20,10,Dso,3,2,Beta,2002-02-03
9800,N10W58,10,58,50,320,Fai,17,24,Beta-Gamma,2002-02-04
9801,S04W41,-4,41,33,80,Hsx,2,1,Alpha,2002-02-04
